ZipCode,State,TaxRegionName,CombinedRate
35548,AL,BRILLIANT,0.09
35549,AL,CARBON HILL,0.09
35550,AL,WALKER COUNTY,0.06
35551,AL,HALEYVILLE PJ (WINSTON CO),0.075
35552,AL,MARION COUNTY,0.06
35553,AL,WINSTON COUNTY,0.06
35554,AL,FAYETTE COUNTY,0.06
35555,AL,FAYETTE COUNTY,0.06
35559,AL,GLEN ALLEN (FAYETTE CO),0.07
35560,AL,WALKER COUNTY,0.06
35563,AL,GUIN,0.09
35564,AL,HACKLEBURG,0.08
35565,AL,HALEYVILLE (WINSTON CO),0.09
35570,AL,HAMILTON,0.09
35571,AL,FRANKLIN COUNTY,0.06
35572,AL,WINSTON COUNTY,0.06
35573,AL,KANSAS,0.07
35574,AL,LAMAR COUNTY,0.06
35575,AL,LYNN,0.08
35576,AL,LAMAR COUNTY,0.06
35577,AL,LYNN PJ,0.07
35578,AL,WALKER COUNTY,0.06
35579,AL,WALKER COUNTY,0.06
35580,AL,WALKER COUNTY,0.06
35581,AL,FRANKLIN COUNTY,0.06
35582,AL,RED BAY,0.085
35584,AL,SIPSEY,0.08
35585,AL,FRANKLIN COUNTY,0.06
35586,AL,LAMAR COUNTY,0.06
35587,AL,WALKER COUNTY,0.06
35592,AL,LAMAR COUNTY,0.06
35593,AL,FRANKLIN COUNTY,0.06
35594,AL,WINFIELD (MARION CO),0.09
35601,AL,DECATUR (MORGAN CO),0.09
35602,AL,DECATUR (MORGAN CO),0.09
35603,AL,DECATUR (MORGAN CO),0.09
35610,AL,LAUDERDALE COUNTY,0.055
35611,AL,ATHENS,0.09
35612,AL,ATHENS,0.09
35613,AL,LIMESTONE COUNTY,0.06
35614,AL,LIMESTONE COUNTY,0.06
35615,AL,DECATUR UN,0.08
35616,AL,COLBERT COUNTY,0.055
35617,AL,LAUDERDALE COUNTY,0.055
35618,AL,LAWRENCE COUNTY,0.07
35619,AL,LAWRENCE COUNTY,0.07
35620,AL,LIMESTONE COUNTY,0.06
35621,AL,MORGAN COUNTY,0.07
35622,AL,MORGAN COUNTY,0.07
35630,AL,FLORENCE,0.085
35631,AL,FLORENCE,0.085
35632,AL,FLORENCE,0.085
35633,AL,LAUDERDALE COUNTY,0.055
35634,AL,LAUDERDALE COUNTY,0.055
35640,AL,HARTSELLE,0.09
35643,AL,LAWRENCE COUNTY,0.07
35645,AL,LAUDERDALE COUNTY,0.055
35646,AL,COLBERT COUNTY,0.055
35647,AL,LIMESTONE COUNTY,0.06
35648,AL,LAUDERDALE COUNTY,0.055
35649,AL,DECATUR UN,0.08
35650,AL,LAWRENCE COUNTY,0.07
35651,AL,LAWRENCE COUNTY,0.07
35652,AL,LAUDERDALE COUNTY,0.055
35653,AL,RUSSELLVILLE,0.09
35654,AL,FRANKLIN COUNTY,0.06
35660,AL,SHEFFIELD,0.09
35661,AL,MUSCLE SHOALS,0.09
35670,AL,MORGAN COUNTY,0.07
35671,AL,LIMESTONE COUNTY,0.06
35672,AL,LAWRENCE COUNTY,0.07
35673,AL,LAWRENCE COUNTY,0.07
35674,AL,TUSCUMBIA,0.09
